"","C","B","A"
"s1p1",6,13,12
"s1p2",11,11,9
"s1p3a",4,9,16
"s1p3b",8,12,12
"s2p1",3,15,13
"s2p2",10,5,16
"s2p3a",6,10,17
"s2p3b",7,16,10
