"Column","Mean","Median","StdDev","P_Value","Normal"
"P1.After.Comments",81.1206896551724,80,13.7188967515182,0.011388802252016,"Not Normal"
"P2.After.Comments",77.5833333333333,85,18.7828256721369,0.00384671249783893,"Not Normal"
"P3.After.Comments",74.4666666666667,84,22.1448730477023,0.000798477477941018,"Not Normal"
"Number.Grade",89.0866666666667,91.85,7.35933530231868,0.0028605427317609,"Not Normal"
