"","semester","section","partial","grade_shapiro_p","grade_mean","grade_median","grade_sd","mcq_grade_shapiro_p","mcq_grade_mean","mcq_grade_median","mcq_grade_sd","j_grade_shapiro_p","j_grade_mean","j_grade_median","j_grade_sd","j_effect_shapiro_p","j_effect_mean","j_effect_median","j_effect_sd","p_gain_shapiro_p","p_gain_mean","p_gain_median","p_gain_sd"
"1","F22",1,1,0.185315131021819,57.4684210526316,58.3,17.9792798221724,0.185315131021819,57.4684210526316,58.3,17.9792798221724,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0
"2","F22",2,1,0.0427469524666198,80.01,85,14.2275085661545,0.0277577457987143,82.667,86.67,13.57622655116,0.122454590739865,77.3335,80,15.6376291361574,0.87132077187863,-2.657,-2.885,3.5038431531827,NA,0,0,0
"3","F22",3,1,0.00720870596288616,79.3103448275862,84.2,15.85763324143,0.00224132652549993,81.3796551724138,86.67,14.6246153753474,0.00572186692831713,77.2410344827586,81.67,17.650924974716,0.00122525445373965,-2.06931034482759,-1.63,3.39803086994563,NA,0,0,0
"4","S23",1,1,0.507202953797547,78.3333333333333,78.125,14.0401722490007,0.0393630896482782,81.3333333333333,80,12.5212463115859,0.15797038102533,75.3333333333333,76.25,16.3440030831375,0.0740664166853414,-3,-2.5,3.85066048969479,1.99011703384527e-05,7.7603943523842,2.95871227364186,10.3936942988142
"5","S23",1,2,0.0304867788274097,72.375,75,17.5870678879838,0.0123130251687152,75.25,80,16.5876719906371,0.23216296049765,69.5,71.25,19.4027193259445,0.0201786533352214,-2.875,-1.25,4.06241710790764,0.00861560278329917,8.53980728749308,5.65079365079365,7.52021791936273
"6","S23",1,3,0.0263057361962259,65.4310344827586,67.5,23.2903736007616,0.000992293298507914,75.8620689655172,80,24.1301887653664,0.0442592426381652,55.1724137931034,55,24.8021729542238,8.79514905867277e-05,-10.4310344827586,-10,7.53174725736123,NA,0,0,0
"7","S23",2,1,0.0133548762092193,80.0833333333333,80,14.6287879464298,0.0133548762092193,80.0833333333333,80,14.6287879464298,NA,NA,NA,NA,NA,0,0,0,8.30903641456531e-06,11.1474349405384,7.14285714285714,18.6749020828643
"8","S23",2,2,0.00355561436337674,77.6666666666667,85,18.8795334054948,0.00355561436337674,77.6666666666667,85,18.8795334054948,NA,NA,NA,NA,NA,0,0,0,0.0413200420831811,9.78287037037037,10,7.53647692929648
"9","S23",2,3,0.00122547895228301,68.6666666666667,80,22.702473408212,0.00122547895228301,68.6666666666667,80,22.702473408212,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0
