"Column","Mean","Median","StdDev","P_Value","Normal"
"s1",3.04347826086957,3,1.14726001132997,0.000276736438005965,"Not Normal"
"s2",2.9,3,1.15519814690844,0.00411133383928734,"Not Normal"
