"Column","Mean","Median","StdDev","P_Value","Normal","Wilcoxon_P_Value"
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",1.41666666666667,1,0.503610155185335,1.33763898457314e-06,"Not Normal",0.785903889435449
"s1",3.0625,4,1.43614066163451,0.00915888529716986,"Not Normal",0.235344888944362
"s2",2.4,2,1.24211800681624,0.00453372050363392,"Not Normal",0.235344888944362
"s1",1.625,1,1.02469507659596,4.82522205049005e-05,"Not Normal",0.481777609103499
"s2",1.4,1,0.866025403784439,4.12375815078282e-08,"Not Normal",0.481777609103499
"s1",3.04347826086957,3,1.14726001132997,0.000276736438005965,"Not Normal",0.704779701503838
"s2",2.9,3,1.15519814690844,0.00411133383928734,"Not Normal",0.704779701503838
"s1",2.73913043478261,2,1.09616651457157,1.21018872145356e-05,"Not Normal",0.240536449905977
"s2",3.03333333333333,3,1.12903172837532,0.0192161787705652,"Not Normal",0.240536449905977
"s1",2.91304347826087,3,1.16435871847831,0.00491935733364798,"Not Normal",0.735641573311302
"s2",2.76666666666667,3,1.10432795395438,0.0134259112533636,"Not Normal",0.735641573311302
"s1",3,2,1.24316312101612,0.000868749473555483,"Not Normal",0.888739733300119
"s2",2.9,3,1.09387006730138,0.0303782723070141,"Not Normal",0.888739733300119
"s1",2.95652173913043,3,1.2605287804426,0.0113134740598267,"Not Normal",0.992629006662201
"s2",2.96666666666667,3,1.37673610356182,0.00705754084781389,"Not Normal",0.992629006662201
"s1",2.91304347826087,3,1.31124657823493,0.0177538930594891,"Not Normal",0.212338704616339
"s2",3.36666666666667,4,1.27261157856003,0.00117203506123627,"Not Normal",0.212338704616339
"s1",3.65217391304348,4,1.22877232346961,0.000423349123102287,"Not Normal",0.893481464810534
