"Column","Mean","Median","StdDev","P_Value","Normal"
"s1",1.625,1,1.02469507659596,4.82522205049005e-05,"Not Normal"
"s2",1.4,1,0.866025403784439,4.12375815078282e-08,"Not Normal"
