"Column","Mean","Median","StdDev","P_Value","Normal"
"s1",2.91304347826087,3,1.31124657823493,0.0177538930594891,"Not Normal"
"s2",3.36666666666667,4,1.27261157856003,0.00117203506123627,"Not Normal"
