"Column","Mean","Median","StdDev","P_Value","Normal"
"s1",3.60714285714286,4,1.37003070293484,0.000237254550062965,"Not Normal"
"s2",3.56666666666667,4,1.30472175216584,0.000998946886232871,"Not Normal"
