"Column","Mean","Median","StdDev","P_Value","Normal"
"s1",3.53571428571429,4,1.23174500899974,0.00159980219622836,"Not Normal"
"s2",3.36666666666667,4,0.927857499958849,0.000101728172554925,"Not Normal"
