"","metric","p1","p2","p3"
"1","MCQ Mean",81.3333333333333,75.25,75.8620689655172
"2","MCQ Median",80,80,80
"3","J Mean",70.3333333333333,64,57.1428571428571
"4","J Median",75,66.25,60
"5","Total Mean",78.3333333333333,72.375,65.5172413793103
"6","Total Median",78.125,75,67.5
"7","J Gain Mean",-7.29563492063492,-7.81404320987654,-14.9066091954023
"8","J Gain Median",-5.80357142857143,-6.59722222222222,-15
"9","J Cons Mean",-11,-11.25,-20.7142857142857
"10","J Cons Median",-8.75,-10,-20
