"Column","Mean","Median","StdDev","P_Value","Normal","Wilcoxon_P_Value"
"jmcq-p2-tierC",50.6818181818182,51.25,4.755379728648,0.74161588355604,"Normal",9.04813209289917e-05
"mcq-p2-tierC",22,24,3.39934634239519,0.000118114894727307,"Not Normal",9.04813209289917e-05
