"Column","Mean","Median","StdDev","P_Value","Normal","Wilcoxon_P_Value"
"s2_p1",80,85,14.2194578819356,0.0421679327291599,"Not Normal",1
"s3_p1",79.2816091954023,84.1666666666667,15.8923151694456,0.00679608575784306,"Not Normal",1
