"Key","Computing.Quiz","Basic.Syntax.Quiz","Functions.Quiz","Part.Prof","Part.Self","Part.Real","HW01.Real","HW02.Real","HW03.Real","HW04.Real","HW05.Real","HW06.Real","HW07.Real","HW.Grade","P1.Real","P1.Comments","P1.After.Comments","P1.New","P2.Real","P2.Comments","P2.After.Comments","P2.New","Team","FP.Ideas","FP.Draft","FP.Prototype","FP.Demo","FP.Code","FP.Grade","P3.Real","P3.Comments","P3.After.Comments","P3.New","P3.Predicted","Course.Total","Number.Grade","Letter.Grade"
"apricot-pea","100","100",75,80,85,81.5,100,100,100,100,100,100,100,100,75,0,75,75,46.25,2.5,48.75,58.8,10,100,100,100,100,100,100,47.5,0,47.5,47.5,60.6,997.5,77.4,"S"
"apricot-tomato","100","100",75,80,90,83,100,100,100,100,100,100,100,100,62.5,7.5,70,70,42.5,5,47.5,52.3,9,100,100,85,85,100,95.5,67,0,67,67,52.5,980,81.1,"S"
"aquamarine-cucumber","100","100",100,95,90,93.5,100,100,100,100,100,100,100,100,68.75,2.5,71.25,85.63,80,1.25,81.25,84.9,7,100,100,85,85,100,95.5,87.5,0,87.5,87.5,74.4,1090.63,92.9,"S"
"bittersweet-potato","87.5","100",100,90,90,90,100,100,100,100,100,100,100,100,47.5,11.25,58.75,76.04,62.5,3.75,66.25,66.3,2,100,100,85,100,100,98.5,48.5,0,48.5,48.5,55,1013.54,81.2,"S"
"bittersweet-tubers","87.5","100",75,100,100,100,100,88,100,100,100,100,100,100,92.5,6.25,98.75,98.75,72.5,2.5,75,85.3,6,100,100,100,100,100,100,92.5,0,92.5,92.5,82.5,1096.75,96.4,"S"
"black-turnip","100","100",100,95,90,93.5,100,100,100,100,100,100,100,100,95,1.25,96.25,98.13,95,3.75,98.75,100,3,100,100,100,100,100,100,95.5,0,95.5,95.5,95,1188.13,97.2,"S"
"blue-watercress","100","100",100,90,85,88.5,100,100,100,100,100,100,100,100,77.5,1.25,78.75,89.38,75,3.75,78.75,83.2,5,100,100,100,100,100,100,66,0,66,66,76.3,1104.38,87.5,"S"
"brown-bilberry","100","100",75,85,90,86.5,100,100,100,100,100,100,100,100,76.25,7.5,83.75,83.75,57.5,0,57.5,68.4,10,100,100,100,100,100,100,43.5,0,43.5,43.5,66.9,1041.25,79.8,"S"
"brown-mandarine","87.5","100",100,100,100,100,100,100,100,100,100,100,100,100,88.75,0,88.75,91.04,86.25,2.5,88.75,95.6,11,100,100,100,100,100,100,96,0,96,96,87.5,1133.54,97.2,"S"
"canary-eggplant","87.5","100",100,80,80,80,100,100,100,100,100,100,100,100,91.25,0,91.25,95.63,97.5,1.25,98.75,100,1,100,100,85,70,100,92.5,100,0,100,100,94.4,1163.13,95.4,"S"
"canary-elderberry","-","100",75,80,80,80,100,100,100,100,100,100,100,100,77.5,0,77.5,88.75,75,3.75,78.75,83.2,4,100,100,100,100,100,100,88.5,0,88.5,88.5,76.3,976.25,91.2,"S"
"cerulean-chickpea","100","100",75,95,95,95,100,88,100,100,100,100,100,100,88.75,1.25,90,95,83.75,6.25,90,93.5,6,100,100,100,100,100,100,99,0,99,99,86.3,1118,97.5,"S"
"chestnut-cilantro","87.5","100",100,80,80,80,100,100,100,100,100,100,100,100,91.25,0,91.25,92.29,72.5,2.5,75,84.9,6,100,100,100,100,100,100,100,0,100,100,81.9,1112.29,94.2,"S"
"eggplant-rutabaga","75","100",100,90,100,93,100,100,100,100,100,100,100,100,70,0,70,70,50,0,50,60.5,8,100,100,100,100,100,100,47,0,47,47,60,985,78.6,"S"
"goldenrod-dill","100","100",75,85,90,86.5,100,100,100,100,100,100,100,100,75,0,75,87.5,68.75,2.5,71.25,77.3,7,100,100,85,85,100,95.5,100,0,100,100,71.9,1055,94.1,"S"
"lavender-asparagus","100","100",100,90,90,90,100,100,100,100,100,100,100,100,45,10,55,62.5,47.5,2.5,50,51.6,3,100,100,100,100,100,100,49.5,0,49.5,49.5,46.3,972.5,77.4,"S"
"magenta-jalapeno","100","100",100,80,80,80,100,100,100,100,100,100,100,100,80,2.5,82.5,87.92,78.75,3.75,82.5,87,8,100,100,100,100,100,100,62.5,0,62.5,62.5,79.4,1117.92,86,"S"
"manatee-lime","100","100",100,80,80,80,100,100,100,100,100,100,100,100,100,0,100,100,97.5,2.5,100,100,8,100,100,100,100,100,100,98,0,98,98,98.8,1200,95.8,"S"
"melon-quince","100","100",50,80,85,81.5,100,100,100,100,100,100,100,100,80,2.5,82.5,82.5,46.25,2.5,48.75,60.2,7,100,100,85,85,100,95.5,56,0,56,56,63.1,995,80.5,"S"
"peach-frisee","100","100",100,90,85,88.5,100,100,100,100,100,100,100,100,70,5,75,87.5,87.5,7.5,95,95,5,100,100,100,100,100,100,72.5,0,72.5,72.5,78.8,1127.5,90.6,"S"
"razzmatazz-artichoke","100","100",100,80,90,83,100,100,100,100,100,100,100,100,61.25,2.5,63.75,66.88,53.75,5,58.75,61.2,9,100,100,85,85,100,95.5,19,0,19,19,57.5,1011.88,73.2,"S"
"razzmatazz-cabbage","100","75",75,80,80,80,100,100,100,100,100,100,100,100,53.75,2.5,56.25,78.13,52.5,3.75,56.25,58.1,2,100,100,85,100,100,98.5,54,0,54,54,53.1,953.13,79.7,"S"
"red-jambul","100","100",100,90,100,93,100,100,100,100,100,100,100,100,66.25,2.5,68.75,69.38,52.5,2.5,55,61.5,2,100,100,85,100,100,98.5,52,0,52,52,59.4,1016.88,79.9,"S"
"red-radish","100","100",75,80,90,83,100,100,100,100,100,100,100,100,63.75,0,63.75,81.88,83.75,5,88.75,88.8,3,100,100,100,100,100,100,100,0,100,100,73.8,1061.88,93.8,"S"
"scarlet-gooseberry","100","100",100,80,80,80,100,100,100,100,100,100,100,100,86.25,0,86.25,93.13,100,0,100,100,1,100,100,85,70,100,92.5,83.5,0,83.5,83.5,93.1,1165.63,92.6,"S"
"sunglow-nectarine","100","100",100,100,100,100,100,88,100,100,100,100,100,100,92.5,5,97.5,97.5,75,2.5,77.5,87.3,6,100,100,100,100,100,100,100,0,100,100,83.8,1135.5,98.2,"S"
"tumbleweed-cranberry","100","-",100,85,80,83.5,100,100,100,100,100,100,100,100,77.5,0,77.5,77.5,51.25,3.75,55,63.6,5,100,100,100,100,100,100,100,0,100,100,64.4,942.5,90.7,"S"
"tumbleweed-frisee","87.5","100",100,0,0,0,100,100,100,100,100,100,100,100,46.25,0,46.25,46.25,62.5,0,62.5,64.3,4,100,100,100,100,100,100,NA,0,NA,NA,54.4,951.25,63.8,"U"
"violet-kumquat","100","100",100,85,90,86.5,100,100,100,100,100,100,100,100,91.25,0,91.25,92.29,77.5,0,77.5,89,10,100,100,100,100,100,100,87.5,0,87.5,87.5,84.4,1129.79,92.7,"S"
"yellow-eggplant","87.5","100",50,80,85,81.5,100,100,100,100,100,100,100,100,83.75,3.75,87.5,90.42,57.5,0,57.5,70.5,1,100,100,85,70,100,92.5,100,0,100,100,70.6,1017.92,92.9,"S"
