key,section,points,grade,estimated_points,estimated_grade,questionable_points,questionable_percentage
apricot-pea,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,39,48.75,36.5,45.625,2.5,3.125
apricot-tomato,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,38,47.5,31.33333333,39.16666667,6.66666667,8.33333333
aquamarine-cucumber,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,65,81.25,65,81.25,0,0
bittersweet-potato,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,53,66.25,50.5,63.125,2.5,3.125
bittersweet-tubers,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,60,75,54.16666667,67.70833333,5.83333333,7.29166667
black-turnip,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,79,98.75,79,98.75,0,0
blue-watercress,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,63,78.75,60.5,75.625,2.5,3.125
brown-bilberry,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,46,57.5,41,51.25,5,6.25
brown-mandarine,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,71,88.75,68.5,85.625,2.5,3.125
canary-eggplant,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,79,98.75,79,98.75,0,0
canary-elderberry,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,63,78.75,63,78.75,0,0
cerulean-chickpea,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,72,90,72,90,0,0
chestnut-cilantro,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,60,75,55,68.75,5,6.25
eggplant-rutabaga,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,40,50,31.66666667,39.58333333,8.33333333,10.41666667
goldenrod-dill,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,57,71.25,57,71.25,0,0
lavender-asparagus,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,40,50,34.16666667,42.70833333,5.83333333,7.29166667
magenta-jalapeno,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,66,82.5,60.16666667,75.20833333,5.83333333,7.29166667
manatee-lime,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,80,100,80,100,0,0
melon-quince,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,39,48.75,36.5,45.625,2.5,3.125
peach-frisee,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,76,95,73.5,91.875,2.5,3.125
razzmatazz-artichoke,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,47,58.75,41.16666667,51.45833333,5.83333333,7.29166667
razzmatazz-cabbage,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,45,56.25,42.5,53.125,2.5,3.125
red-jambul,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,44,55,44,55,0,0
red-radish,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,71,88.75,68.5,85.625,2.5,3.125
scarlet-gooseberry,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,80,100,80,100,0,0
sunglow-nectarine,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,62,77.5,57,71.25,5,6.25
tumbleweed-cranberry,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,44,55,44,55,0,0
tumbleweed-frisee,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,50,62.5,47.5,59.375,2.5,3.125
violet-kumquat,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,62,77.5,57,71.25,5,6.25
yellow-eggplant,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,46,57.5,43.5,54.375,2.5,3.125
