key,section,points,grade,estimated_points,estimated_grade,questionable_points,questionable_percentage
apricot-pea,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,11,27.5,7.666666667,19.16666667,3.333333333,8.33333333
apricot-tomato,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,24,60,10.66666667,26.66666667,13.33333333,33.33333333
aquamarine-cucumber,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,27,67.5,22,55,5,12.5
bittersweet-potato,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,13,32.5,10.5,26.25,2.5,6.25
bittersweet-tubers,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,33,82.5,33,82.5,0,0
black-turnip,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,31,77.5,28.5,71.25,2.5,6.25
blue-watercress,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,20,50,16.66666667,41.66666667,3.33333333,8.33333333
brown-bilberry,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,13,32.5,10.5,26.25,2.5,6.25
brown-mandarine,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,34,85,28.16666667,70.41666667,5.83333333,14.58333333
canary-eggplant,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,36,90,31,77.5,5,12.5
canary-elderberry,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,31,77.5,28.5,71.25,2.5,6.25
cerulean-chickpea,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,36,90,31,77.5,5,12.5
chestnut-cilantro,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,34,85,28.16666667,70.41666667,5.83333333,14.58333333
eggplant-rutabaga,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,18,45,13,32.5,5,12.5
goldenrod-dill,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,36,90,32.66666667,81.66666667,3.33333333,8.33333333
lavender-asparagus,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,17,42.5,17,42.5,0,0
magenta-jalapeno,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,25,62.5,19.16666667,47.91666667,5.83333333,14.58333333
manatee-lime,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,38,95,35.5,88.75,2.5,6.25
melon-quince,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,20,50,14.16666667,35.41666667,5.83333333,14.58333333
peach-frisee,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,23,57.5,20.5,51.25,2.5,6.25
razzmatazz-artichoke,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,4,10,4,10,0,0
razzmatazz-cabbage,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,20,50,16.66666667,41.66666667,3.33333333,8.33333333
red-jambul,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,18,45,14.66666667,36.66666667,3.33333333,8.33333333
red-radish,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,36,90,31,77.5,5,12.5
scarlet-gooseberry,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,27,67.5,23.66666667,59.16666667,3.33333333,8.33333333
sunglow-nectarine,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,36,90,31,77.5,5,12.5
tumbleweed-cranberry,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,36,90,31,77.5,5,12.5
violet-kumquat,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,29,72.5,26.5,66.25,2.5,6.25
yellow-eggplant,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,34,85,26.5,66.25,7.5,18.75
